key,school,lat,lng,校名全銜,等級別,縣市名稱,公/私立,原區,是否重點學校,地址,全校班級數,全校學生數,原住民籍學生總數,主要/次要民族（30%以上）                     ,主要民族學生總數,次要民族學生總數,阿美族,泰雅族,排灣族,布農族,卑南族,魯凱族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報族籍
73,縣立吳江國小,23.2792022,121.3221976,花蓮縣富里鄉吳江國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉吳江村6鄰52號,6,24,13,阿美族/布農族,9,4,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
74,縣立學田國小,23.1556255,121.2273794,花蓮縣富里鄉學田國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉學田村光明路1號,6,34,15,阿美族,12,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
75,縣立永豐國小,23.1549908,121.2663286,花蓮縣富里鄉永豐國民小學,國小,花蓮縣,公立,是,是,[983]花蓮縣富里鄉豐南村永豐84號,6,27,21,阿美族,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,奇美國小,23.4969819,121.4461535,花蓮縣瑞穗鄉奇美國民小學,國小,花蓮縣,公立,是,是,[978]花蓮縣瑞穗鄉奇美村47號,6,9,8,阿美族,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,縣立西富國小,23.6366536,121.4297241,花蓮縣光復鄉西富國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉西富村民有街51巷3號,6,29,17,阿美族,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,縣立大興國小,23.6323405,121.3986164,花蓮縣光復鄉大興國民小學,國小,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大興村民權街17號,6,36,24,阿美族,22,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
79,市立八斗國小,25.1387799,121.7978416,基隆市中正區八斗國民小學,國小,基隆市,公立,否,是,[202]基隆市中正區北寧路396巷52號,21,432,111,阿美族,105,0,105,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
80,縣立寶桑國中,22.7695242,121.1435549,臺東縣立寶桑國民中學,國中,臺東縣,公立,是,是,[950]臺東縣臺東市仁七街1號,17,379,137,阿美族,85,0,85,0,26,5,13,2,0,0,5,0,0,1,0,0,0,0,0
81,縣立卑南國中,22.788454,121.1119343,臺東縣立卑南國民中學,國中,臺東縣,公立,是,是,[950]臺東縣臺東市更生北路766號,14,263,160,阿美族/卑南族,72,51,72,5,13,13,51,3,0,0,0,1,0,2,0,0,0,0,0
82,縣立豐田國中,22.7729766,121.0895376,臺東縣立豐田國民中學,國中,臺東縣,公立,是,是,[950]臺東縣臺東市中興路四段611巷56弄27號,9,200,117,阿美族,44,0,44,1,32,8,19,12,0,0,1,0,0,0,0,0,0,0,0
83,縣立鹿野國中,22.9069333,121.1351612,臺東縣立鹿野國民中學,國中,臺東縣,公立,是,是,[955]臺東縣鹿野鄉龍田村光榮路38號,7,116,74,阿美族/布農族,39,32,39,0,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0
84,縣立瑞源國中,22.9738617,121.1571603,臺東縣立瑞源國民中學,國中,臺東縣,公立,是,是,[955]臺東縣鹿野鄉瑞和村瑞景路三段1號,3,37,27,阿美族,24,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
85,縣立池上國中,23.1148377,121.204932,臺東縣立池上國民中學,國中,臺東縣,公立,是,是,[958]臺東縣池上鄉新興村力學路88號,9,200,73,阿美族/布農族,41,28,41,1,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0
86,縣立都蘭國中,22.8745707,121.2245664,臺東縣立都蘭國民中學,國中,臺東縣,公立,是,是,[959]臺東縣東河鄉都蘭村398號,6,103,59,阿美族,57,0,57,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
87,縣立泰源國中,23.001521,121.289998,臺東縣立泰源國民中學,國中,臺東縣,公立,是,是,[959]臺東縣東河鄉北源村3鄰30號,6,107,89,阿美族,84,0,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,縣立新港國中,23.101718,121.376944,臺東縣立新港國民中學,國中,臺東縣,公立,是,是,[961]臺東縣成功鎮中正路1號,12,272,135,阿美族,126,0,126,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
89,長濱國中,23.3151852,121.4588701,臺東長濱國民中學,國中,臺東縣,公立,是,是,[962]臺東縣長濱鄉長濱村15鄰180號,6,115,64,阿美族,56,0,56,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0
90,玉東國中,23.417193,121.3705051,花蓮玉東國民中學,國中,花蓮縣,公立,是,是,[981]花蓮縣玉里鎮松浦里松浦39號,6,89,72,阿美族,68,0,68,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
91,縣立美崙國中,23.9972365,121.6285149,花蓮縣立美崙國民中學,國中,花蓮縣,公立,是,是,[970]花蓮縣花蓮市化道路40巷1號,20,476,196,阿美族,101,0,101,10,0,29,1,0,0,0,0,0,0,50,3,2,0,0,0
92,縣立壽豐國中,23.8457276,121.5003985,花蓮縣立壽豐國民中學,國中,花蓮縣,公立,是,是,[974]花蓮縣壽豐鄉豐裡村中山路132號,9,215,80,阿美族,74,0,74,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
93,光復國中,23.6706333,121.4246641,花蓮光復國民中學,國中,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大馬村林森路200號,11,233,147,阿美族,121,0,121,2,1,7,2,0,0,0,0,0,0,12,0,2,0,0,0
94,縣立富源國中,23.5889374,121.3839227,花蓮縣立富源國民中學,國中,花蓮縣,公立,是,是,[976]花蓮縣光復鄉大富村中山路一段2號,5,64,36,阿美族/布農族,18,17,18,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0
95,豐濱國中,23.6014426,121.5215111,花蓮豐濱國民中學,國中,花蓮縣,公立,是,是,[977]花蓮縣豐濱鄉光豐路26號,4,52,46,阿美族,40,0,40,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0
